RET16EC049,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,A, EC230,B, EC206,B, EC232,B, EC208,C, MA204,A+,HS210,C
RET16EC050,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,C, EC230,C, EC206,F, EC232,B, EC208,C, MA204,B+,HS210,B
RET16EC051,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,O, EC204,A+, EC230,B+, EC206,A, EC232,A, EC208,B+, MA204,O,HS210,B+
RET16EC052,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,A, EC230,C, EC206,C, EC232,B+, EC208,B, MA204,B+,HS210,C
RET16EC053,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A+, EC204,B, EC230,B, EC206,B+, EC232,B+, EC208,B+, MA204,A+,HS210,B
RET16EC054,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B+, EC230,C, EC206,B+, EC232,B+, EC208,B+, MA204,B+,HS210,B+
RET16EC055,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B, EC204,A+, EC230,C, EC206,B, EC232,B, EC208,B+, MA204,O,HS210,C
RET16EC056,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,O, EC204,A+, EC230,A+, EC206,A, EC232,B+, EC208,A+, MA204,O,HS210,B
RET16EC057,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A+, EC204,B+, EC230,B, EC206,B+, EC232,B, EC208,A, MA204,O,HS210,B
RET16EC058,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,B, EC230,B, EC206,B+, EC232,B, EC208,A, MA204,O,HS210,B+
RET16EC059,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A+, EC204,A, EC230,B, EC206,A+, EC232,B+, EC208,A, MA204,O,HS210,B
RET16EC060,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B, EC230,B+, EC206,B, EC232,B, EC208,B, MA204,B,HS210,B+
RET16EC061,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,O, EC204,O, EC230,B+, EC206,B+, EC232,B+, EC208,O, MA204,O,HS210,A
RET16EC062,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,C, EC230,B, EC206,C, EC232,B, EC208,B, MA204,C,HS210,C
RET16EC063,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B, EC204,B, EC230,B+, EC206,B, EC232,B, EC208,A, MA204,B+,HS210,B+
RET16EC065,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A+, EC204,B, EC230,A, EC206,C, EC232,B, EC208,B+, MA204,O,HS210,C
